Poll,Date,Sample,Obama (D),Romney (R),Spread
Democracy Corps (D)Democracy Corps (D),5/21 - 5/25,1000 LV,48,44,Obama +4
,,,,,
Politico/GWU/BattlegroundPolitico/GWU/Battleground,5/8 - 5/12,1000 LV,52,40,Obama +12
,,,,,
Reuters/IpsosReuters/Ipsos,5/5 - 5/9,600 A,51,38,Obama +13
,,,,,
PPP (D)PPP (D),5/5 - 5/8,814 RV,47,42,Obama +5
,,,,,
Newsweek/Daily BeastNewsweek/Daily Beast,5/2 - 5/3,600 A,42,36,Obama +6
,,,,,
Newsweek/Daily BeastNewsweek/Daily Beast,4/30 - 5/1,600 A,44,44,Tie
,,,,,
CNN/Opinion ResearchCNN/Opinion Research,4/29 - 5/1,964 RV,54,43,Obama +11
,,,,,
ABC News/Wash PostABC News/Wash Post,4/14 - 4/17,1001 A,49,45,Obama +4
,,,,,
McClatchy/MaristMcClatchy/Marist,4/10 - 4/14,532 RV,46,45,Obama +1
,,,,,
Democracy Corps (D)Democracy Corps (D),4/10 - 4/12,1000 LV,46,48,Romney +2
,,,,,
PPP (D)PPP (D),4/7 - 4/10,532 RV,47,41,Obama +6
,,,,,
PPP (D)PPP (D),3/10 - 3/13,642 RV,47,42,Obama +5
,,,,,
Rasmussen ReportsRasmussen Reports,3/6 - 3/9,2000 LV,45,40,Obama +5
,,,,,
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,2/24 - 2/28,RV,49,40,Obama +9
,,,,,
Newsweek/Daily BeastNewsweek/Daily Beast,2/12 - 2/15,918 LV,49,47,Obama +2
,,,,,
PPP (D)PPP (D),2/11 - 2/14,600 RV,46,41,Obama +5
,,,,,
FOX NewsFOX News,2/7 - 2/9,911 RV,48,41,Obama +7
,,,,,
PPP (D)PPP (D),1/14 - 1/16,632 RV,48,43,Obama +5
,,,,,
Democracy Corps (D)Democracy Corps (D),1/9 - 1/12,1000 LV,48,46,Obama +2
,,,,,
McClatchy/MaristMcClatchy/Marist,1/6 - 1/10,827 RV,51,38,Obama +13
,,,,,
Rasmussen ReportsRasmussen Reports,1/3 - 1/6,2000 LV,42,44,Romney +2
,,,,,
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,12/9 - 12/13,1000 A,47,40,Obama +7
,,,,,
McClatchy/MaristMcClatchy/Marist,12/2 - 12/8,873 RV,44,46,Romney +2
,,,,,
PPP (D)PPP (D),11/19 - 11/21,707 RV,47,46,Obama +1
,,,,,
QuinnipiacQuinnipiac,11/8 - 11/15,2424 RV,44,45,Romney +1
,,,,,
CNN/Opinion ResearchCNN/Opinion Research,10/27 - 10/30,921 RV,45,50,Romney +5
,,,,,
FOX NewsFOX News,9/28 - 9/29,900 RV,41,40,Obama +1
,,,,,
PPP (D)PPP (D),9/10 - 9/13,590 RV,46,43,Obama +3
,,,,,
PPP (D)PPP (D),8/6 - 8/9,606 RV,45,42,Obama +3
,,,,,
PPP (D)PPP (D),7/9 - 7/12,667 RV,43,46,Romney +3
,,,,,
PPP (D)PPP (D),6/4 - 6/7,650 RV,45,42,Obama +3
,,,,,
PPP (D)PPP (D),5/7 - 5/9,707 RV,46,44,Obama +2
,,,,,
PPP (D)PPP (D),4/9 - 4/11,622 RV,44,45,Romney +1
,,,,,
CNN/Opinion ResearchCNN/Opinion Research,4/9 - 4/11,907 RV,53,45,Obama +8
,,,,,
PPP (D)PPP (D),3/12 - 3/14,1403 RV,44,44,Tie
,,,,,
PPP (D)PPP (D),2/13 - 2/15,743 RV,45,43,Obama +2
,,,,,
PPP (D)PPP (D),1/18 - 1/19,1151 RV,44,42,Obama +2
,,,,,
FOX NewsFOX News,1/12 - 1/14,900 RV,47,35,Obama +12
,,,,,
PPP (D)PPP (D),12/4 - 12/7,1253 RV,47,42,Obama +5
,,,,,
Rasmussen ReportsRasmussen Reports,11/24 - 11/24,800 LV,44,44,Tie
,,,,,
PPP (D)PPP (D),11/13 - 11/15,1066 RV,48,43,Obama +5
,,,,,
PPP (D)PPP (D),10/16 - 10/19,766 RV,48,40,Obama +8
,,,,,
PPP (D)PPP (D),9/18 - 9/21,621 RV,48,39,Obama +9
,,,,,
PPP (D)PPP (D),8/14 - 8/17,909 RV,47,40,Obama +7
,,,,,
Rasmussen ReportsRasmussen Reports,7/16 - 7/17,1000 LV,45,45,Tie
,,,,,
PPP (D)PPP (D),7/15 - 7/16,577 RV,49,40,Obama +9
,,,,,
PPP (D)PPP (D),6/12 - 6/16,638 RV,48,40,Obama +8
,,,,,
PPP (D)PPP (D),5/14 - 5/18,1000 RV,53,35,Obama +18
,,,,,
PPP (D)PPP (D),4/17 - 4/19,686 RV,50,39,Obama +11
